19(B0.993 E0.533 D0.487 C0.323 A0.001)
46(C0.907 A0.759 E0.596 B0.386 D0.309)
23(C0.378 A0.330 E0.296 B0.164 D0.001)
13(C0.489 B0.358 D0.354 E0.313 A0.201)
18(D0.524 B0.405 C0.381 A0.272 E0.162)
13(C0.900 D0.780 E0.577 B0.303 A0.182)
1(C0.963 B0.698 A0.579 E0.316 D0.224)
20(D0.323 E0.309 B0.155 A0.128 C0.001)
50(B0.754 E0.743 D0.585 A0.391 C0.195)
38(D0.907 A0.632 B0.290 C0.027 E0.002)
2(C0.820 E0.347 A0.145 B0.036 D0.009)
10(E0.869 A0.847 B0.236 C0.169 D0.041)
31(B0.940 E0.807 C0.749 A0.241 D0.094)
0(E0.869 A0.638 B0.531 C0.417 D0.357)
47(A0.917 D0.572 B0.427 E0.094 C0.023)
4(E1.000 B0.940 D0.605 C0.474 A0.390)
20(E0.767 D0.730 A0.561 C0.434 B0.300)
15(D0.781 A0.574 B0.199 C0.162 E0.072)
44(E0.949 C0.616 A0.230 B0.088 D0.013)
41(C0.962 E0.703 D0.599 A0.571 B0.272)
20(B0.892 C0.783 D0.433 A0.430 E0.164)
43(A0.757 C0.723 D0.635 E0.571 B0.180)
14(C0.673 E0.423 B0.315 D0.145 A0.033)
48(E0.864 B0.759 A0.716 D0.066 C0.018)
33(C0.576 B0.439 D0.388 E0.241 A0.055)
34(B0.940 E0.931 C0.830 A0.628 D0.383)
19(E0.520 D0.213 A0.156 C0.066 B0.016)
45(D0.948 B0.763 E0.590 C0.062 A0.008)
3(E0.860 A0.853 C0.577 D0.573 B0.278)
3(C0.997 E0.915 D0.622 B0.547 A0.037)
26(B0.726 D0.331 E0.298 A0.288 C0.061)
49(D0.999 C0.802 A0.428 B0.258 E0.133)
28(D0.961 A0.889 B0.770 E0.597 C0.509)
22(D0.966 B0.895 A0.830 C0.711 E0.423)
6(B0.970 A0.948 D0.790 C0.701 E0.179)
41(D0.934 B0.905 A0.388 C0.356 E0.214)
33(B0.904 D0.797 C0.449 E0.418 A0.416)
25(C0.957 B0.756 E0.718 A0.433 D0.040)
9(C0.895 B0.768 D0.263 E0.204 A0.094)
4(E0.998 B0.974 C0.970 A0.839 D0.520)
23(B0.646 C0.280 D0.150 A0.057 E0.032)
25(C0.741 B0.625 D0.621 E0.388 A0.133)
24(D0.867 B0.792 A0.707 E0.560 C0.047)
28(B0.857 E0.659 C0.485 A0.328 D0.038)
16(A0.933 D0.795 E0.705 B0.649 C0.548)
0(D0.995 A0.957 E0.627 C0.395 B0.354)
11(C0.455 E0.403 B0.392 A0.352 D0.095)
16(D0.976 C0.835 B0.590 A0.033 E0.033)
46(D0.545 C0.336 B0.178 A0.023 E0.005)
26(A0.932 B0.756 E0.590 C0.319 D0.040)
5(E0.888 D0.542 B0.468 A0.424 C0.257)
28(E0.816 B0.634 C0.395 D0.088 A0.028)
44(B0.964 C0.816 D0.437 E0.196 A0.123)
49(C0.945 D0.500 E0.292 B0.247 A0.177)
36(E0.925 D0.559 A0.370 B0.205 C0.092)
9(D0.968 E0.959 A0.835 C0.504 B0.092)
13(B0.671 A0.627 D0.597 E0.333 C0.202)
10(A0.709 D0.585 E0.219 C0.203 B0.132)
4(B0.895 C0.537 D0.499 A0.316 E0.157)
24(D0.828 B0.721 C0.633 A0.322 E0.321)
43(C0.986 B0.788 E0.560 D0.350 A0.169)
27(C0.699 E0.617 B0.610 A0.467 D0.282)
47(A0.876 C0.523 D0.379 E0.223 B0.144)
37(D0.892 C0.744 A0.623 B0.606 E0.344)
27(E0.536 A0.305 D0.143 C0.022 B0.016)
45(D0.936 C0.699 A0.147 E0.076 B0.043)
7(C0.954 B0.597 D0.477 E0.380 A0.021)
38(E0.674 B0.600 D0.421 C0.276 A0.087)
19(D0.963 C0.831 A0.428 B0.408 E0.035)
18(C0.996 E0.687 A0.664 D0.607 B0.576)
12(D0.796 C0.589 E0.412 B0.134 A0.074)
38(C0.916 D0.586 E0.514 A0.489 B0.078)
20(A0.957 E0.934 D0.843 B0.802 C0.102)
21(D0.742 B0.399 A0.284 E0.277 C0.256)
35(A0.672 B0.644 E0.416 C0.256 D0.221)
27(C0.979 E0.947 B0.852 A0.730 D0.441)
38(B0.578 D0.405 E0.333 C0.133 A0.104)
25(A0.902 B0.759 E0.308 D0.216 C0.204)
6(A0.940 B0.560 C0.552 D0.448 E0.364)
48(A0.476 C0.419 B0.158 D0.105 E0.102)
7(D0.752 E0.608 B0.370 A0.265 C0.055)
21(E0.510 A0.424 C0.397 D0.396 B0.041)
46(D0.972 C0.745 E0.712 B0.528 A0.413)
37(B0.937 C0.784 D0.748 A0.682 E0.059)
43(C0.849 D0.626 A0.501 E0.468 B0.271)
14(E0.799 B0.571 D0.281 A0.206 C0.038)
11(E0.798 C0.607 A0.382 D0.350 B0.300)
6(A0.979 C0.895 B0.530 D0.392 E0.314)
36(D0.925 B0.568 A0.307 E0.250 C0.178)
46(C0.832 B0.581 E0.455 D0.267 A0.131)
11(E0.673 C0.489 D0.197 B0.046 A0.043)
16(B0.782 D0.648 A0.559 C0.267 E0.005)
4(E0.987 C0.946 B0.704 D0.504 A0.339)
33(B0.913 E0.862 C0.822 A0.793 D0.075)
43(E0.908 C0.620 D0.581 A0.230 B0.023)
10(C0.858 D0.732 B0.675 A0.093 E0.006)
4(E0.871 B0.423 D0.302 A0.252 C0.149)
30(B0.846 D0.434 A0.417 E0.387 C0.348)
46(D0.919 C0.875 B0.793 A0.297 E0.261)
6(E0.563 D0.486 C0.161 B0.124 A0.072)
4(C0.767 A0.481 B0.440 D0.401 E0.071)
37(A0.892 E0.783 D0.356 C0.098 B0.062)
18(A0.979 C0.814 E0.448 B0.348 D0.094)
48(C0.842 D0.778 B0.301 E0.114 A0.103)
27(B0.678 A0.623 D0.436 E0.224 C0.003)
31(C0.893 A0.742 B0.647 D0.438 E0.157)
21(D0.972 B0.941 E0.598 A0.585 C0.144)
31(E0.911 A0.496 B0.252 D0.168 C0.135)
46(B0.833 A0.501 C0.404 E0.256 D0.041)
25(A0.686 E0.587 C0.576 D0.232 B0.173)
6(A0.829 E0.622 C0.553 B0.486 D0.068)
44(E0.668 B0.498 C0.470 A0.326 D0.107)
33(A0.951 C0.634 E0.390 D0.294 B0.057)
1(A0.943 E0.901 D0.728 B0.410 C0.014)
48(D0.967 C0.947 A0.286 B0.238 E0.137)
38(B0.578 D0.506 A0.386 C0.254 E0.051)
21(C0.460 A0.436 B0.430 D0.426 E0.424)
29(B0.697 A0.682 C0.568 E0.295 D0.095)
47(E0.739 C0.606 A0.507 D0.441 B0.048)
5(D0.938 E0.832 B0.814 A0.554 C0.553)
42(C0.914 D0.796 B0.773 E0.678 A0.214)
26(D0.990 A0.688 E0.271 B0.198 C0.079)
43(A0.974 E0.898 C0.676 D0.461 B0.277)
5(E0.985 A0.784 D0.651 C0.265 B0.212)
22(B0.850 E0.596 C0.464 A0.353 D0.071)
34(C0.384 D0.329 A0.236 B0.072 E0.034)
42(D0.833 A0.480 E0.434 C0.138 B0.039)
39(C0.960 E0.508 D0.414 B0.266 A0.139)
18(E0.910 D0.825 B0.634 C0.467 A0.381)
10(E0.920 D0.909 A0.837 C0.630 B0.386)
1(D0.654 E0.654 B0.314 C0.218 A0.148)
48(E0.911 C0.618 D0.383 A0.100 B0.068)
44(E0.992 B0.740 A0.620 D0.204 C0.160)
50(B0.614 D0.590 A0.280 E0.063 C0.037)
29(B0.801 A0.630 E0.323 D0.036 C0.011)
25(A0.938 B0.894 E0.697 C0.345 D0.004)
50(B0.947 D0.456 E0.427 A0.416 C0.233)
40(B0.771 D0.575 E0.495 C0.324 A0.318)
36(C0.580 B0.544 A0.466 D0.399 E0.377)
10(D0.948 B0.531 A0.284 E0.133 C0.017)
36(D0.819 B0.376 E0.244 C0.182 A0.160)
42(D0.953 B0.951 C0.848 A0.170 E0.063)
38(A0.996 C0.971 D0.770 B0.221 E0.122)
12(D0.947 C0.661 B0.236 A0.235 E0.125)
29(C0.971 B0.678 E0.588 A0.391 D0.261)
23(E0.635 C0.365 D0.311 A0.182 B0.095)
25(D0.803 E0.655 A0.500 B0.341 C0.032)
13(E0.964 A0.707 D0.569 C0.550 B0.078)
20(D0.755 A0.537 C0.311 E0.299 B0.032)
15(A0.924 E0.879 C0.769 B0.378 D0.161)
32(D0.982 A0.817 C0.602 E0.507 B0.349)
35(C0.997 E0.784 A0.685 D0.325 B0.131)
47(D0.984 A0.914 C0.700 B0.550 E0.162)
35(B0.990 E0.846 D0.635 A0.445 C0.399)
49(D0.990 A0.762 B0.705 C0.260 E0.033)
48(A0.972 C0.743 D0.502 B0.095 E0.036)
48(A0.830 E0.733 D0.412 B0.260 C0.186)
8(A0.958 E0.440 D0.387 C0.142 B0.137)
1(B0.802 D0.656 C0.394 A0.283 E0.058)
1(D0.478 C0.380 A0.352 E0.328 B0.000)
19(C0.968 A0.590 E0.304 B0.023 D0.014)
45(A0.993 B0.648 E0.606 D0.179 C0.137)
33(E0.995 A0.966 C0.888 D0.761 B0.566)
34(E0.780 A0.662 B0.379 C0.158 D0.001)
26(A0.972 B0.427 E0.279 C0.144 D0.130)
49(D0.934 E0.826 B0.773 C0.218 A0.207)
34(A0.769 B0.634 E0.204 C0.118 D0.043)
7(D0.803 C0.743 B0.389 E0.322 A0.315)
28(A0.958 C0.916 D0.607 E0.545 B0.261)
6(D0.793 A0.722 B0.318 E0.143 C0.116)
1(C0.975 D0.816 A0.733 E0.495 B0.187)
36(D0.676 C0.497 A0.321 E0.302 B0.182)
2(A0.946 E0.894 C0.553 D0.424 B0.415)
44(C0.756 E0.715 B0.449 D0.274 A0.117)
21(E0.726 D0.721 A0.576 C0.338 B0.292)
18(C0.995 D0.763 E0.325 B0.212 A0.191)
23(D0.808 B0.680 A0.380 C0.254 E0.112)
17(B0.675 A0.601 D0.386 C0.375 E0.174)
41(C0.993 D0.781 E0.746 B0.534 A0.056)
39(D0.549 A0.415 C0.316 B0.244 E0.019)
2(A0.899 D0.864 B0.344 E0.268 C0.124)
8(C0.366 E0.349 B0.297 A0.281 D0.186)
14(D0.741 A0.714 B0.697 C0.620 E0.502)
37(C0.725 B0.450 E0.408 D0.170 A0.051)
37(D0.826 C0.584 E0.442 B0.180 A0.065)
38(B0.688 D0.582 A0.458 E0.380 C0.139)
20(D0.960 C0.804 A0.758 E0.253 B0.033)
43(A0.980 E0.834 C0.784 B0.627 D0.400)
33(E0.841 C0.772 D0.597 A0.199 B0.025)
48(D0.942 A0.701 B0.590 C0.458 E0.369)
43(B0.900 A0.568 D0.357 E0.339 C0.061)
41(A0.971 C0.795 B0.599 D0.198 E0.151)
13(D0.987 A0.932 C0.897 E0.441 B0.331)
12(B0.980 C0.765 E0.405 A0.311 D0.282)
49(B0.423 E0.370 D0.369 C0.267 A0.186)
11(D0.962 B0.858 C0.536 E0.455 A0.025)
20(E0.972 B0.947 D0.842 A0.339 C0.311)
7(B0.926 E0.414 C0.078 A0.076 D0.071)
3(E0.920 C0.801 A0.742 D0.709 B0.155)
40(E0.504 D0.501 C0.327 B0.305 A0.052)
39(C0.906 D0.848 A0.486 B0.232 E0.227)
13(E0.725 A0.515 B0.401 C0.289 D0.280)
32(C0.938 A0.585 D0.159 E0.119 B0.056)
42(D0.665 E0.572 B0.501 A0.430 C0.363)
23(E0.749 C0.736 A0.539 D0.373 B0.101)
50(A0.640 D0.532 E0.415 C0.290 B0.154)
2(A0.912 B0.555 D0.502 C0.474 E0.033)
15(D0.756 B0.690 C0.378 A0.346 E0.025)
9(C0.951 B0.779 E0.644 D0.538 A0.021)
8(C0.919 B0.783 A0.615 D0.153 E0.065)
21(E0.978 B0.540 A0.388 C0.316 D0.255)
47(E0.803 B0.721 C0.676 D0.522 A0.216)
28(C0.924 D0.700 B0.664 E0.147 A0.041)
11(A0.794 B0.620 C0.368 D0.324 E0.288)
48(E0.665 C0.603 B0.298 A0.037 D0.037)
20(C0.974 B0.891 E0.164 D0.052 A0.002)
18(B0.859 D0.703 C0.663 E0.481 A0.235)
46(C0.971 E0.775 A0.613 B0.575 D0.293)
12(B0.950 D0.739 E0.606 C0.361 A0.357)
27(E0.818 D0.333 A0.227 C0.116 B0.059)
33(E0.782 A0.719 C0.687 B0.510 D0.185)
20(B0.644 D0.587 E0.576 A0.071 C0.022)
0(B0.310 E0.088 A0.048 C0.048 D0.008)
11(D0.821 A0.471 C0.386 B0.101 E0.025)
17(E0.842 D0.678 B0.620 C0.420 A0.225)
34(D0.859 E0.602 B0.568 A0.157 C0.020)
46(B0.641 A0.533 E0.394 D0.276 C0.201)
22(B0.912 D0.734 C0.347 E0.245 A0.193)
44(C0.891 B0.440 E0.418 A0.305 D0.065)
5(C0.902 D0.869 E0.844 A0.791 B0.243)
17(E0.891 C0.642 B0.513 A0.239 D0.226)
33(E0.856 D0.772 C0.759 B0.714 A0.371)
3(B0.946 C0.605 A0.521 E0.355 D0.286)
12(B0.877 E0.517 D0.334 A0.168 C0.126)
0(E0.979 C0.557 D0.540 A0.339 B0.046)
15(A0.953 C0.828 B0.709 D0.687 E0.392)
15(B0.920 C0.705 E0.641 D0.203 A0.133)
28(D0.678 A0.528 C0.378 B0.277 E0.276)
9(A0.862 E0.731 B0.652 C0.528 D0.174)
35(E0.397 D0.352 A0.287 B0.285 C0.141)
25(A0.826 C0.596 E0.278 D0.141 B0.088)
33(A0.892 C0.886 B0.846 D0.298 E0.069)
44(A0.968 D0.755 E0.492 C0.299 B0.076)
18(A0.865 D0.444 C0.380 B0.376 E0.088)
44(C0.782 A0.646 D0.462 E0.336 B0.194)
38(E0.991 D0.832 A0.712 B0.369 C0.343)
3(A0.717 C0.600 B0.532 D0.163 E0.112)
4(B0.989 A0.835 C0.801 D0.323 E0.302)
34(E0.872 C0.516 B0.332 D0.251 A0.249)
40(C0.519 A0.221 B0.105 E0.090 D0.085)
47(B0.565 D0.280 E0.274 A0.057 C0.039)
50(E0.887 D0.386 B0.343 C0.187 A0.048)
2(B0.987 A0.757 C0.696 E0.568 D0.093)
16(A0.943 E0.893 D0.778 C0.539 B0.212)
1(B0.900 D0.573 C0.493 A0.347 E0.217)
33(B0.890 D0.729 A0.707 E0.414 C0.136)
38(D0.822 C0.595 B0.542 A0.353 E0.161)
36(B0.845 A0.724 D0.674 E0.210 C0.121)
29(B0.734 D0.620 E0.420 C0.010 A0.005)
6(C0.939 A0.860 D0.583 E0.409 B0.397)
1(C0.937 A0.662 B0.613 D0.324 E0.247)
15(D0.865 E0.678 A0.510 C0.463 B0.379)
34(C0.702 D0.684 B0.460 A0.434 E0.279)
0(B0.846 A0.726 D0.595 E0.114 C0.002)
0(E0.983 B0.903 D0.901 C0.382 A0.035)
8(A0.397 E0.388 D0.309 C0.167 B0.029)
41(B0.993 D0.977 C0.956 A0.355 E0.178)
41(D0.924 C0.920 A0.719 B0.267 E0.264)
34(C0.828 E0.801 A0.718 B0.366 D0.047)
42(E0.879 A0.751 B0.493 D0.276 C0.246)
32(A0.855 D0.538 E0.485 B0.339 C0.089)
21(E0.986 A0.859 C0.578 B0.292 D0.172)
20(E0.873 B0.386 A0.323 C0.169 D0.046)
35(A0.813 B0.672 E0.628 D0.241 C0.121)
5(E0.861 C0.764 A0.251 B0.233 D0.035)
11(C0.947 A0.812 E0.810 B0.469 D0.381)
17(E0.954 D0.731 A0.190 B0.162 C0.102)
18(D0.965 B0.925 E0.618 C0.405 A0.283)
45(B0.949 E0.928 D0.790 C0.541 A0.121)
12(A0.747 E0.741 C0.656 D0.575 B0.089)
29(C0.807 E0.732 A0.731 D0.646 B0.163)
2(C0.679 A0.675 E0.528 B0.385 D0.045)
15(B0.920 C0.710 D0.662 A0.252 E0.193)
23(B0.899 D0.788 A0.457 E0.268 C0.256)
7(A0.968 D0.671 E0.339 B0.173 C0.021)
49(E0.756 A0.479 D0.419 C0.321 B0.009)
8(B0.891 D0.829 C0.766 A0.669 E0.117)
49(E0.793 A0.780 D0.627 C0.578 B0.130)
30(C0.986 A0.788 E0.613 B0.529 D0.157)
19(B0.914 E0.613 C0.337 D0.249 A0.026)
26(B0.928 E0.924 D0.759 C0.375 A0.064)
25(E0.899 D0.872 C0.827 B0.766 A0.247)
17(E0.865 C0.830 D0.685 A0.311 B0.089)
2(B0.841 E0.503 A0.351 C0.201 D0.194)
39(D0.840 C0.627 A0.365 B0.345 E0.203)
36(A0.902 D0.733 B0.517 E0.414 C0.140)
42(D0.880 C0.837 B0.758 E0.276 A0.189)
49(E0.864 A0.740 C0.686 D0.457 B0.409)
34(A0.741 D0.671 E0.363 B0.334 C0.063)
44(C0.813 E0.707 A0.621 B0.602 D0.087)
5(E0.545 D0.502 B0.429 A0.389 C0.372)
10(A0.461 B0.339 D0.140 E0.057 C0.047)
40(C0.948 B0.278 A0.145 D0.110 E0.066)
7(B0.644 A0.558 D0.503 E0.232 C0.146)
9(A0.926 D0.899 C0.875 B0.868 E0.393)
4(A0.740 C0.688 B0.665 E0.640 D0.472)
25(A0.658 D0.484 E0.302 C0.292 B0.026)
39(C0.773 A0.590 E0.497 B0.417 D0.386)
29(A0.830 B0.780 C0.779 D0.544 E0.020)
17(B0.722 D0.627 C0.542 E0.078 A0.042)
3(E0.769 B0.502 A0.495 C0.331 D0.006)
5(B0.800 D0.754 E0.654 A0.548 C0.508)
32(D0.921 A0.528 B0.358 E0.218 C0.027)
30(E0.673 B0.193 A0.163 D0.069 C0.042)
17(E0.825 B0.633 C0.472 A0.207 D0.095)
21(E0.731 C0.694 D0.351 B0.295 A0.123)
41(C0.979 E0.949 A0.376 D0.158 B0.077)
47(C0.966 E0.557 D0.298 B0.075 A0.059)
4(D0.891 C0.648 E0.553 A0.192 B0.072)
3(C0.897 A0.641 D0.636 B0.569 E0.122)
33(D0.913 C0.699 B0.447 A0.428 E0.207)
41(E0.895 B0.880 C0.592 A0.499 D0.181)
0(E0.929 A0.897 B0.588 D0.497 C0.090)
0(C0.769 B0.761 A0.630 E0.382 D0.299)
40(B0.748 A0.540 C0.314 D0.295 E0.039)
47(C0.957 E0.366 D0.205 B0.184 A0.002)
22(A0.677 C0.293 E0.194 D0.085 B0.011)
48(D0.690 B0.547 A0.344 E0.111 C0.048)
23(D0.858 A0.434 E0.222 B0.150 C0.117)
40(B0.642 E0.607 C0.492 D0.456 A0.407)
14(D0.914 B0.844 A0.541 E0.381 C0.238)
15(E0.945 A0.765 D0.761 C0.567 B0.292)
28(A0.940 E0.684 C0.570 B0.369 D0.362)
15(E0.724 D0.410 A0.403 C0.103 B0.101)
9(D0.918 B0.099 C0.037 A0.031 E0.020)
26(B0.732 D0.657 A0.448 C0.346 E0.245)
31(E0.996 C0.950 B0.871 D0.147 A0.010)
34(C0.747 E0.571 B0.325 A0.245 D0.075)
24(E0.556 D0.522 B0.394 C0.349 A0.118)
30(B0.832 A0.673 E0.579 D0.525 C0.356)
46(A0.707 C0.501 D0.369 E0.218 B0.190)
30(C0.546 B0.437 E0.416 D0.142 A0.054)
50(E0.760 A0.422 C0.292 B0.227 D0.037)
12(D0.950 E0.472 A0.342 B0.314 C0.097)
20(A0.761 B0.725 E0.671 C0.161 D0.148)
19(B0.986 C0.695 E0.667 A0.589 D0.077)
45(E0.818 B0.808 C0.632 A0.597 D0.199)
43(A0.919 B0.843 D0.567 E0.563 C0.001)
43(E0.939 B0.793 C0.689 D0.317 A0.111)
32(B0.872 D0.760 C0.663 E0.565 A0.271)
48(E0.982 B0.707 D0.344 A0.192 C0.048)
6(A0.878 E0.678 D0.641 C0.528 B0.215)
38(B0.504 D0.475 A0.470 C0.231 E0.069)
20(A0.973 C0.713 E0.431 D0.413 B0.384)
